"Empresa";"Filial";"Area";"Dispositivo";"Modelo";"Basename";"Monitoramento";"Sensor";"Tipo Sensor";"valor";"unidade";"data";"id_filial";"id_area";"id_dispositivo";"id_monitoramento";"id_sensor"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T08:06:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T08:16:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T08:26:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T08:36:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T08:46:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T08:56:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T09:06:34.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T09:16:33.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T09:26:33.000-03:00";"166";"0";"1284";"1514";"14100"
"Showroom";"Showroom";"Estação de clima LoRa";"EndPoint Lora NIT21LI - 2255";"NIT21LI";"F803320100022255";"Clima";"Nível de Chuva";"Nível de Chuva";"0.00";"Milímetros";"2025-12-16T09:36:33.000-03:00";"166";"0";"1284";"1514";"14100"
